"",gene_symbol,GSM2691349,GSM2691350,GSM2691351,GSM2691352,GSM2691353,GSM2691354,GSM2691355,GSM2691356,GSM2691357,GSM2691358,GSM2691359,GSM2691360
ENSG00000160539,PLPP7,1,0,1,3,0,1,0,0,1,9,0,0
ENSG00000160551,TAOK1,1968.9996,2572.9818,2074.7219,2758.0056,2017.0558,1835.1717,953.1786,1332.425,1283.4115,598.5809,990.2321,1187.1778
ENSG00000160563,MED27,147.0003,313.0008,258.9997,308.0005,178.9999,154.0005,164.0002,168.0011,260.9998,128.0002,185.0002,235.0008
ENSG00000160570,DEDD2,424.0001,357.0004,295.0006,325.9998,285.0004,278.0004,283.0002,249.0003,350.9996,315.0004,253.0002,229.0003
ENSG00000160584,SIK3,511.952,565.9998,613.72,546.0002,404.0001,150.5174,417.9994,229.3749,413.9997,222.9997,230.6988,205.5404
ENSG00000160588,MPZL3,923.1326,1151.0008,1285.6302,1497.7349,1331.9583,1399.8387,885.464,1029.8963,1602.6335,750.2614,978.5599,1001.2111
ENSG00000160593,JAML,2,1,0,1,0,1,1,0,7,256.0004,1,0
ENSG00000160602,NEK8,282.313,133.3136,133.1564,142.4355,263.0222,143.299,275.6353,195.4924,256.0696,400.7888,187.5154,243.0604
ENSG00000160606,TLCD1,149.9997,121.1936,146.9999,126.9998,152.9995,109.9998,141.9995,135.9998,165.0625,134.0147,109.9998,104.9998
ENSG00000160613,PCSK7,556.7848,1519.95,1874.4692,1263.9056,1308.3788,1126.0354,1099.5168,783.2285,1288.4413,882.6494,1771.0409,1148.9366
ENSG00000160633,SAFB,1184.0236,1278.0276,1319.5403,1322.5127,1240.8235,1224.6752,1593.202,1580.5982,1406.5263,1332.135,798.3401,904.4121
ENSG00000160654,CD3G,1,3.0089,6.1107,6.2258,5.3403,4.0046,1.0344,5.0673,3.0384,8.0863,4.4572,7
ENSG00000160678,S100A1,25,15.0899,20,12,25,30,42.3413,19,50.043,448.6582,20,25
ENSG00000160679,CHTOP,970.9977,1269.2629,1133.7588,1290.5311,1287.6584,1033.6519,1179.4888,1092.7621,1309.744,1026.5866,914.8761,1045.0122
ENSG00000160683,CXCR5,0,2.0026,0,0,0,0,0,1.0005,1.0037,0,1.0018,1.0017
ENSG00000160685,ZBTB7B,1091.0005,452,449.9998,619.9998,1966.9988,1553.9994,1532.0007,947.9984,1857.0003,900.9986,685.9992,599.9983
ENSG00000160688,FLAD1,246.965,463.0003,624.8454,419.9613,411.6485,240.6684,378.776,387.1822,467.6865,520.0811,339.73,326.0003
ENSG00000160691,SHC1,2820.7529,3442.2665,3396.3777,3652.6791,5558.3607,7077.1838,4625.5732,2685.0229,3512.2145,2256.8293,2729.1599,2744.1149
ENSG00000160695,VPS11,466.5391,252.205,245,252.0077,405.1848,360.5,378.013,343.0003,375.9998,228.0818,309.5001,332.0001
ENSG00000160703,NLRX1,276.0001,311.0001,399.9994,354.0004,467.0002,512.0002,386,395.0001,490.9999,341.9998,424.9997,400.0001
ENSG00000160710,ADAR,4395.9939,3746.9578,4138.4277,3912.3255,8106.3458,9155.5483,3067.1798,2551.0986,2236.4142,1465.4554,1743.0001,1936.0037
ENSG00000160712,IL6R,232.0001,133.0701,42,253.7171,359.9997,185,388.1146,51,484.9997,400.0676,67.0165,41.0334
ENSG00000160714,UBE2Q1,1157.0016,1117.9998,1238.001,1139.0001,1307.0002,961.0003,1437.9985,1313.9992,1389.9988,801.9984,1018.9993,1045.0002
ENSG00000160716,CHRNB2,2,2,5,1,2,1,3,5,3,2,2,2
ENSG00000160741,CRTC2,691.9996,754.9995,810.9988,725.9996,867.0015,603.9998,857.0009,787.0017,1037.0005,826.0018,682,558.0003
ENSG00000160746,ANO10,639.0002,886.0008,1023.9996,1036.9995,552.999,606.999,391.0002,501.0005,545.0002,294.0001,667.0014,685.0038
ENSG00000160752,FDPS,760.7213,3012.9791,2097.9306,2740.0064,724.3061,781.3737,811.67,841.0286,1153.6818,2197.9956,759.2088,767.1047
ENSG00000160753,RUSC1,734.1111,794.0006,770.0012,785.0004,782.136,760.0001,537.6601,528.389,648.5202,589.0006,637.0013,557.9763
ENSG00000160766,GBAP1,126.8171,73.3915,93.4558,115.9856,423.2877,286.4879,1110.0924,644.9607,581.5871,636.0033,378.5277,336.1743
ENSG00000160767,FAM189B,514.9194,457.776,450.046,468.5779,650.4616,548.2817,720.2551,578.0562,513.086,336.1461,495.415,475.8242
ENSG00000160781,PAQR6,81,54,62,50,130.0003,86.0001,134,124.0002,209.0002,199,74.0001,98.0002
ENSG00000160783,PMF1,538.5232,566.9871,503.4019,549.6877,420.098,399.3343,405.5317,470.9719,659.7341,477.2909,465.2216,448.4559
ENSG00000160785,SLC25A44,335.3219,733.0297,575.1687,684.0565,428.3982,321.0649,387.2947,429.3743,437.0109,285.1729,336.056,351.9999
ENSG00000160789,LMNA,10778.0029,15969.0065,12563.9794,16376.0247,11290.9997,11555.9444,9760.9868,7900.9924,12153.9986,4733.0502,12546.0261,12475.3977
ENSG00000160791,CCR5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000160796,NBEAL2,1705.0004,1820.0025,1455.9987,1854.0025,2630.9982,2013.0012,2514.0011,1714.999,3477.9941,2270.9989,2161.9943,2115.9978
ENSG00000160799,CCDC12,329.0742,368,332.9999,338.9998,437.9993,284.1103,396.9999,450.0001,557.9994,437.9986,328.9998,422.9999
ENSG00000160801,PTH1R,10,5,34,2,36.0001,27,375.0002,251.0001,73,61,73.0001,87.0001
ENSG00000160803,UBQLN4,876.7691,1170.9982,1248.9346,1113.6386,673.4977,520.4415,952.4265,837.7389,716.8044,604.9999,855.0034,839.9137
ENSG00000160808,MYL3,3,0,5,0,8,8,70.9999,48,12,11,15,14
ENSG00000160813,PPP1R35,62.9999,129.9998,117.9998,154.9996,134.9997,162.9997,168.9996,136.9998,178.4674,379.9805,107.2685,114.9999
ENSG00000160818,GPATCH4,109.2006,650.0005,495.2565,593.0012,232.681,160.8357,201.4921,271.9477,306.8411,224.6343,254.3332,275.1357
ENSG00000160838,LRRC71,1,0,0,1,2,0,1,4,7,7,1,1
ENSG00000160856,FCRL3,2.8936,1,0,1,1,0,3,1.6258,2,2.6726,2.6784,3
ENSG00000160862,AZGP1,1,0,0,0,0,0,1,1,30.0001,459.145,0,0
ENSG00000160867,FGFR4,11.0044,42,41,33,5,2,11,12,88,1320.0017,6,14
ENSG00000160868,CYP3A4,0,0,0,0,4.1426,3,2.0058,0,0,3.0283,0,0
ENSG00000160870,CYP3A7,8,1,0,0,15,0,9,3.4547,21,64.1724,3,6
ENSG00000160877,NACC1,619.999,1852.9993,1566.0011,1793.9978,1064.0022,995.9609,1033.9974,936.9997,954.0023,766.6744,971.9997,851.9998
ENSG00000160882,CYP11B1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000160883,HK3,0,0,1,0,3,0,1,0,1,0,0,0
ENSG00000160886,LY6K,311.9032,146.8823,69.429,255.8931,231.4465,288.7306,244.7177,191.4133,267.5145,164.4688,111.9608,120.1963
ENSG00000160888,IER2,3276.0116,1060.0002,1205.9856,1592.0011,1487.0004,1374.0003,1521.0017,1150,2823.0018,1098.9991,2469.9905,1835.9923
ENSG00000160908,ZNF394,295.2008,173.2866,185.4102,178.5311,272.204,203.6265,298.1496,262.5653,286.4934,204.1597,185.9449,209.3423
ENSG00000160917,CPSF4,300.0003,335.0001,289,329,441,329.0005,612.9993,502.6339,418.0003,530.0003,270.0002,368.0002
ENSG00000160932,LY6E,9129.9489,1770.9989,3045.9587,2363.3912,7407.3053,3995.4539,10653.4747,4293.4616,1567.5026,969.9061,2409.4782,2166.506
ENSG00000160948,VPS28,1352,811.9991,1063.999,930.9088,1236.9991,1244.9985,1545.9988,1422.7602,1687.9995,1453.9984,1519.1977,1409.999
ENSG00000160949,TONSL,202.0904,749.7983,463.9996,845.0519,187.8516,188.7584,179.1989,147.0923,238.3749,366.5628,261.7251,224.1631
ENSG00000160951,PTGER1,1,2,0,2,2,1,1,1,5,6,1,1
ENSG00000160953,MUM1,518.0004,781.0004,941.998,779.0008,550.0148,389.0002,758.0021,664.9984,693,918.0002,742.0988,641.0009
ENSG00000160957,RECQL4,119.0001,401.1131,255.5188,456.9999,94.4097,99,116.0001,139.9999,186.4031,753.9999,186,189.9997
ENSG00000160959,LRRC14,358.6299,413.0003,522.9266,469.9274,681.0003,523.8536,684.7955,646.8251,592.9998,403.3406,607.8572,618.9997
ENSG00000160961,ZNF333,172.7061,77.2278,128.3403,106,292.9856,253.0579,359.0463,346.0816,309.062,237.0512,222.9059,238.0341
ENSG00000160963,COL26A1,0,1,0,0,0,0,0,0,0,9,0,0
ENSG00000160972,PPP1R16A,370.5461,336.9952,477.1726,418.4025,653.5413,490.1686,604.7135,551.7486,726.2578,763.4455,667.5827,606.741
ENSG00000160973,FOXH1,10.0711,1.002,7.0247,6.0138,4.0237,1.0027,8.127,3.0092,13.058,3.0172,5.006,6.0284
ENSG00000160991,ORAI2,353.9265,262.395,397.6501,246.2405,250.955,175.2304,333.2124,283.695,250.1335,140.288,266.4485,224.4157
ENSG00000160993,ALKBH4,175.5745,105.9782,114.872,147.9534,158.8627,151.363,192.0807,205.7641,160.0126,146.7286,125.0001,109.9616
ENSG00000160994,CCDC105,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000160999,SH2B2,58,38,37.9999,20,19,19,35.9999,44,98.9999,36,33,54
ENSG00000161010,MRNIP,245.3564,171.744,273.4823,131.6318,366.5562,320.1665,498.4932,423.4449,475.0845,333.2673,306.7144,329.6628
ENSG00000161011,SQSTM1,7140.5736,1925.5591,3053.5462,1894.2374,3879.4145,3364.1469,3364.3465,3701.4899,6026.7293,4329.918,2907.1527,2963.4923
ENSG00000161013,MGAT4B,2350.8641,3054.9989,3770.0006,2913.7308,3001.0009,3334.0807,2707.0002,2619.5862,3132.0016,2555.0019,2817.0019,2550.9998
