"ENSEMBL","GSM2691349","GSM2691350","GSM2691351","GSM2691352","GSM2691353","GSM2691354","GSM2691355","GSM2691356","GSM2691357","GSM2691358","GSM2691359","GSM2691360"
"ENSG00000000003",5.775376550536,5.11439325909569,5.67116841313199,5.30088811459196,5.22042802770883,5.09303574516511,5.08890661569062,5.70255153497209,5.40185755573394,5.12257746518152,5.62858747824239,5.73684366195079
"ENSG00000000419",4.61940589312012,5.23991424346953,5.15449258096035,5.22280752193539,4.79332387710596,4.86665560704542,4.23047038403089,5.01988472981303,5.07803529717539,4.6332034170242,4.76211196579518,4.94262522045636
"ENSG00000000457",5.09013744392832,3.97221611236549,3.92438250667935,4.06003640476356,4.5768744484832,4.20780468327438,4.41499211336917,4.0986381886044,4.53645921034019,4.28181455067906,4.22519180903956,4.37965609157316
"ENSG00000000460",2.42146609747617,4.26386628708636,3.20078794506652,4.27260542524207,3.30376095422915,2.74139254233667,2.45815589345776,2.63113082813519,4.39426593370631,3.33319575500246,2.70678976710285,3.31357495278134
"ENSG00000001036",5.7981491959872,6.75641894575064,6.5550462007025,6.61680648212512,5.95847986990761,6.07844408272551,5.18738845847799,5.55093326468513,6.320931614384,6.01889237888798,5.31918766287083,5.39843899287984
"ENSG00000001084",4.27053165757997,4.34061238939265,4.11137819870175,4.18059633617338,4.11604794489189,4.0303065521784,3.91768425035715,4.23476523333022,4.77348675407702,4.90990236297639,3.84267701826138,4.23491024093186
"ENSG00000001167",5.68051155842034,5.02187451101623,5.35296736825539,5.21677752687754,5.42360114772942,5.21153525896205,5.2776324499365,5.2023763375203,5.05976798296644,4.54122756441574,4.93272739385575,5.14748134631125
"ENSG00000001460",3.40404930841901,3.851525124638,3.98785363296153,4.11294315048709,4.39909983739614,4.47817578613542,3.53086343433947,3.53035598235514,4.3385311434504,3.55201140227917,3.93511707695171,3.52203626659312
"ENSG00000001461",7.05635138585393,7.18625257452428,6.94282067756983,7.11249799230424,6.87934518114436,7.59289706138392,6.69202369710053,6.35928331929178,6.62495081602537,5.22845243465281,7.07413299042776,6.68119197504365
"ENSG00000001497",4.05165262625297,5.04269784581098,4.68896024244501,4.83640782833838,4.46537731938602,4.20780468327438,4.87686544069753,4.96031065389537,4.78186928765544,4.42726036524314,4.28013304183672,4.56937343067709
"ENSG00000001617",5.58975622171863,4.94530250852185,5.33992869457093,5.03681219728067,4.63562230371867,4.67075078291814,5.00215424595227,4.33979759951287,4.94750873789868,4.65699603586535,4.12716510510605,4.19633506674775
"ENSG00000001626",0.140806412700166,0,0,0,2.69633529178149,2.04633179888171,6.28235658768092,3.9736457494365,2.96349025453191,1.2362574935017,0.787421894162884,0.58187438074597
"ENSG00000001629",6.60312420512797,6.57136277217271,6.52244221522286,6.55760302889005,6.88317847624011,6.71190383152217,5.7770810613392,6.08492012071714,6.15660699610503,5.24872599048517,5.90757226173705,6.18176531033376
"ENSG00000001630",4.88268691184843,6.7388038703438,5.84339898418034,6.82470570665284,4.51233598156832,4.1538528405957,4.122050049601,4.70298537975117,5.25102694694171,5.50242365532259,4.64463087414865,4.98347462878603
"ENSG00000001631",5.19278045777329,4.8927490129508,4.73521954284227,4.8468572572851,5.28366613312698,5.10402079704482,4.43952644036588,4.99783172738875,5.14671392841067,4.6332034170242,4.63168910957163,4.86823154363232
"ENSG00000002016",3.56266834322818,3.07037025485328,2.63236682924162,2.79054112182918,4.04482339786838,3.98348692680177,4.22644760618431,4.08939859371971,3.94458296239783,4.33756317964161,3.43679506119702,3.67326537773587
"ENSG00000002330",4.92954713986705,4.78976017092143,4.80736420557966,4.7911335147198,4.92311389649725,4.97354021858591,5.13684603246552,5.13212482712946,5.31596007234219,4.55576500045996,5.12968342361199,4.88988118905389
"ENSG00000002549",5.00748474783953,5.1847769311611,5.23316272700439,5.25846761590982,6.07924345641309,5.70410335398737,3.99538950577501,4.00837692173989,4.44441140591103,3.99760646926727,4.12254709751254,4.15222819076008
"ENSG00000002586",8.95694633397633,8.31259107149769,8.47272809243212,8.28035846941998,8.23747625249324,7.75708494462834,8.623431256744,8.07329170299261,8.62233343317933,7.60955918673302,8.49263916965987,8.08585374159059
"ENSG00000002587",1.1899922329484,2.65549601598716,1.65705040096483,3.6823243956486,1.52575973811301,0.746987328012527,0.60662277440695,0.948340673323152,1.31470759010302,1.04342327794136,0.877883775264309,0.913176217216201
"ENSG00000002822",3.47227191925573,4.97208503316096,4.79922159773718,4.88030447808879,3.87041673304637,3.95949471784234,3.91268585243638,3.98863303364107,4.45493379653503,4.28181455067906,4.63817450365092,4.43592821060702
"ENSG00000002834",8.76902390465128,9.67887938456018,9.60511796802491,9.30481302794693,8.12029599076873,8.5682872330318,8.3060435163887,8.18675571516166,8.06757043721825,7.70802136711746,8.3647864160048,8.34878476522952
"ENSG00000002919",3.16938862439722,4.21577925869948,4.25721350396935,4.35177819800849,4.17977122187212,3.85932505253089,3.57582449319586,3.37932853884824,3.84142430909383,3.69019812523045,3.6887425049051,3.50810489684134
"ENSG00000003056",6.28717585291164,6.84865030588692,6.48739601634947,6.83917051555235,6.60464043716757,6.20014863589366,6.78658500784157,6.79476734415172,6.38102039023044,5.33131697236673,6.39782024541282,6.59484985077917
"ENSG00000003137",8.33639126896824,6.051795036882,6.61271312184625,7.22191412118734,7.67518795014497,8.17705796506923,7.27208369435127,7.252980163634,7.078903013043,6.27755623876525,8.84581378554099,8.33701183457396
"ENSG00000003147",4.7154255020383,4.19112102211146,3.92438250667935,4.11726570131411,3.88578348538738,3.30303176370105,2.89318622394006,3.26087015876632,3.094885769774,2.89251263753426,4.12716510510605,3.93513803100478
"ENSG00000003249",0.269083937753331,2.28795380104172,2.17615638677298,1.69267924954772,0.334597365990601,0.143199391693507,0,0.0768127387341791,1.54227019962384,4.67041769629332,0.587467372727058,0.151077351324042
