"SYMBOL","logFC","AveExpr","t","P.value","adj.P.value","B","contrast","ensembleID"
"AIMP2",-0.0151223344852265,4.25770609809753,-0.0305422803488755,0.976141547304808,0.986165313395503,-6.98404577748351,"HAEC-control","ENSG00000106305"
"TFR2",0.411912693583305,2.33525300374397,0.541712395133185,0.598027218734722,0.73142281999397,-6.34861267694512,"HAEC-control","ENSG00000106327"
"MOSPD3",0.655038305582174,4.30189106250007,2.72209318456507,0.0186771776186904,0.0761503032004323,-3.91491569640156,"HAEC-control","ENSG00000106330"
"PCOLCE",1.61588011761399,3.52775592682674,3.83974867141921,0.0023944972701722,0.0237968437251871,-1.68200741694051,"HAEC-control","ENSG00000106333"
"FBXO24",1.29704680211598,0.237555971190623,2.85174973461009,0.0147004121231769,0.0664182435823325,-3.04028682862052,"HAEC-control","ENSG00000106336"
"RBM28",0.0922229839028637,4.55297006509162,0.381923101978914,0.709260458039181,0.815314673769885,-6.98615742165783,"HAEC-control","ENSG00000106344"
"USP42",0.037439206973926,4.03284499111612,0.199065034170658,0.845577241725337,0.907231489796608,-6.98275836265778,"HAEC-control","ENSG00000106346"
"IMPDH1",0.163488797905142,5.98181299597298,0.623939579647435,0.544459110908111,0.689553077906991,-6.92101297698336,"HAEC-control","ENSG00000106348"
"AGFG2",0.440977883134808,3.70148599973728,1.35799253341444,0.199691698989817,0.357877409972672,-5.96044811532253,"HAEC-control","ENSG00000106351"
"LSM5",-0.159820847797067,4.15179105558279,-0.502155456436547,0.624733203269693,0.752509662715593,-6.83655788910641,"HAEC-control","ENSG00000106355"
"SERPINE1",0.174150326483126,9.81071206103294,0.185176835660131,0.856213290245042,0.914526013846649,-6.74427145574837,"HAEC-control","ENSG00000106366"
"AP1S1",-0.348992079482808,6.1054142644476,-1.50265162429029,0.159029906696252,0.307999383053404,-5.9984672067183,"HAEC-control","ENSG00000106367"
"C1GALT1",-0.298768905586327,6.75229758171545,-0.899442135107323,0.386280972672013,0.547667764275133,-6.65015140077236,"HAEC-control","ENSG00000106392"
"PLOD3",-0.295612746212668,6.64159836048566,-1.93436163484413,0.0772335236821856,0.18971153838895,-5.33121217440567,"HAEC-control","ENSG00000106397"
"RPA3",0.234775167017816,3.63420520086661,0.775931846770382,0.45295602698733,0.609448302590674,-6.59049692834504,"HAEC-control","ENSG00000106399"
"ZNHIT1",0.305419269706192,5.78406348891635,1.99880531564818,0.0690313197020692,0.176144597170025,-5.27985772634842,"HAEC-control","ENSG00000106400"
"CLDN15",0.8245312310664,2.84855861814368,2.02353830780472,0.066103376554744,0.171446333556556,-4.80264217629663,"HAEC-control","ENSG00000106404"
"GLCCI1",0.363052939573424,6.38353155350334,0.777874634035607,0.451852875177604,0.608575916498928,-6.78110191902993,"HAEC-control","ENSG00000106415"
"PHF14",0.0586854131644916,4.49731530204381,0.276910608576632,0.78660660010654,0.869895014509986,-7.01608036693767,"HAEC-control","ENSG00000106443"
"NRF1",-0.0254062287462853,3.62644410321343,-0.0957176097564282,0.925340077595554,0.955900276076825,-6.88918315622822,"HAEC-control","ENSG00000106459"
"TMEM106B",-0.56971377956964,5.16745370524941,-1.75504518937629,0.104972227760403,0.233048018597096,-5.65027865063556,"HAEC-control","ENSG00000106460"
"EZH2",-2.17924652369871,2.88599441024219,-4.04038809558133,0.00167022790901321,0.0195647074870867,-1.26575903264769,"HAEC-control","ENSG00000106462"
"CEP41",-0.33501334460149,2.99222829738628,-1.36233193988586,0.198356774176963,0.356351580816188,-5.87994369080494,"HAEC-control","ENSG00000106477"
"ZNF862",1.3719791982737,4.98610298538599,3.8701879052121,0.00226656536748506,0.0231841149466539,-1.87160167623248,"HAEC-control","ENSG00000106479"
"MEST",-4.48195841877853,0.910407959466163,-2.90449455335041,0.0133342517016078,0.0625071813751647,-2.97774738497821,"HAEC-control","ENSG00000106484"
"ANKMY2",0.589915562747198,4.41886987580761,2.00557508363646,0.0682181615804294,0.175032977880749,-5.18833718107452,"HAEC-control","ENSG00000106524"
"ACTR3C",-1.35772000337194,0.711891921967705,-2.88118487533273,0.0139216984712382,0.0641460163445607,-3.04811400290521,"HAEC-control","ENSG00000106526"
"TSPAN13",-0.61676113089549,6.33616440934944,-1.57561142411946,0.141349761853009,0.284401067307646,-5.87914440896135,"HAEC-control","ENSG00000106537"
"AGR2",-2.15855359250533,7.68393125771929,-3.02426197488904,0.0106838713204449,0.0544786540531718,-3.29879011297299,"HAEC-control","ENSG00000106541"
"AHR",-0.312357339092473,3.39914469647009,-1.02043736121264,0.32784709498078,0.493181924834568,-6.35147556653579,"HAEC-control","ENSG00000106546"
"CHCHD3",-0.55513132512952,4.34166546993043,-2.23299402601961,0.0455717821387473,0.134599143492816,-4.80355284865268,"HAEC-control","ENSG00000106554"
"GLI3",-0.895965564029282,2.85894668483177,-2.70944269590526,0.0191179189442812,0.0771599406653026,-3.74418443464769,"HAEC-control","ENSG00000106571"
"PSMA2",-0.372463507985255,6.16692937875546,-1.91308041435587,0.0801333742603978,0.194899074621473,-5.39501324797434,"HAEC-control","ENSG00000106588"
"MRPL32",-0.664961715791276,4.67220931815349,-3.15827424570534,0.00833832349371334,0.0473217693221257,-3.18920791681671,"HAEC-control","ENSG00000106591"
"COA1",0.219547601739493,4.3965452606499,1.21056319939271,0.249590941968364,0.412918535452614,-6.30261345223844,"HAEC-control","ENSG00000106603"
"BLVRA",-0.432184289173991,3.6666552970094,-1.31505218801352,0.213304195339069,0.373867153460042,-6.01594712730042,"HAEC-control","ENSG00000106605"
"URGCP",-0.00269364729827526,5.20720450473209,-0.0147798502188219,0.988453060175229,0.992725613095322,-7.12073869032353,"HAEC-control","ENSG00000106608"
"TMEM248",0.0785673761461689,6.38106764160555,0.435403072568649,0.671073206052732,0.789292306583118,-7.00092510097688,"HAEC-control","ENSG00000106609"
"STAG3L4",-0.746845357565248,2.60839683509879,-3.03033977957989,0.010564392043351,0.0543051363850862,-3.04246698303992,"HAEC-control","ENSG00000106610"
"RHEB",-0.780473590521693,5.53349427877916,-3.03840398466956,0.010407926786155,0.0537626515529062,-3.45178259234482,"HAEC-control","ENSG00000106615"
"PRKAG2",-2.37520903479585,2.86837599197224,-5.21178728986782,0.000224700957789739,0.00736556934931635,0.71874375044541,"HAEC-control","ENSG00000106617"
